Frame,VehicleID,Class,Confidence,Xmin,Ymin,Xmax,Ymax,Lane
1,1,car,0.73,142,39,162,59,
1,2,bus,0.60,298,144,337,201,
1,3,car,0.58,113,138,159,182,
1,4,car,0.54,201,72,225,101,
1,5,car,0.50,177,38,197,55,
1,6,person,0.28,29,223,38,241,
1,7,person,0.27,11,242,19,261,
2,8,car,0.80,200,73,225,102,
2,9,car,0.71,141,39,162,59,
2,10,car,0.65,108,141,157,186,
2,11,bus,0.56,298,144,337,202,
2,12,car,0.49,177,39,197,56,
2,13,train,0.40,299,144,337,202,
2,14,person,0.32,30,223,38,241,
3,15,car,0.75,200,75,225,104,
3,16,car,0.70,141,39,162,59,
3,17,car,0.68,176,39,197,57,
3,18,bus,0.53,298,144,338,203,
3,19,car,0.46,106,143,156,190,
3,20,person,0.32,29,223,38,241,
3,21,person,0.26,74,176,79,192,
4,22,car,0.70,141,39,162,59,
4,23,car,0.66,177,40,197,59,
4,24,car,0.65,200,77,225,106,
4,25,bus,0.57,299,144,337,203,
4,26,car,0.52,103,148,153,195,
4,27,person,0.28,30,223,38,241,
5,28,car,0.71,141,39,162,59,
5,29,car,0.66,177,41,197,60,
5,30,bus,0.57,298,145,338,204,
5,31,car,0.53,99,151,151,200,
5,32,car,0.50,198,79,224,108,
5,33,person,0.26,30,223,38,241,
6,34,car,0.72,142,39,162,59,
6,35,car,0.66,198,80,224,111,
6,36,car,0.62,176,41,198,62,
6,37,car,0.60,96,155,149,206,
6,38,train,0.54,299,146,338,206,
6,39,bus,0.50,299,146,339,206,
6,40,person,0.29,30,223,38,242,
6,41,person,0.25,61,190,68,206,
7,42,car,0.74,142,40,162,59,
7,43,car,0.62,197,82,223,113,
7,44,car,0.62,92,159,146,210,
7,45,bus,0.61,299,147,339,207,
7,46,car,0.57,176,42,198,63,
7,47,person,0.31,30,223,38,241,
8,48,car,0.73,142,40,162,59,
8,49,bus,0.66,298,147,338,207,
8,50,car,0.65,88,163,144,218,
8,51,car,0.63,197,84,223,115,
8,52,car,0.53,175,43,198,64,
8,53,person,0.33,30,223,38,241,
9,54,car,0.74,142,40,162,59,
9,55,bus,0.66,299,148,338,211,
9,56,car,0.66,82,167,142,224,
9,57,car,0.63,175,45,197,66,
9,58,car,0.61,195,85,222,118,
